javascript_size,avg_problems
209,0E-20
8441,0E-20
14893,0.48484848484848484848
1435,0E-20
32276,0E-20
510643,18.0000000000000000
19214,0E-20
709,0E-20
1243,0E-20
17163,0E-20
707,0E-20
8458,0E-20
101906,2.1538461538461538
82950,0E-20
1655,0E-20
344333,0.40476190476190476190
225186,0E-20
15884,0E-20
209856,0E-20
96166,0E-20
410565,7.0000000000000000
8881,0E-20
83030,0E-20
27203,0E-20
1182,0E-20
8458,0E-20
168929,0E-20
2289,0E-20
10085,0E-20
567148,0E-20
123,0E-20
2298827,3.6363636363636364
33293,0E-20
153691,0E-20
73206,0E-20
101033,5.6688311688311688
364282,0E-20
4833,0E-20
916391,9.9178082191780822
1353553,2.1071428571428571
19450,1.00000000000000000000
12177,0E-20
4717949,0.73376623376623376623
320997,0E-20
7830,0E-20
20069,0E-20
464727,0E-20
42943,0E-20
3947496,28.6666666666666667
1700,0E-20
9367,0E-20
102994,0E-20
4849,0E-20
1203,0E-20
5773,0E-20
4594,0E-20
16095,0E-20
2163,0E-20
8411,0E-20
47008,0E-20
310,0E-20
4744,0E-20
768,0E-20
15417,0E-20
340283,0.09316770186335403727
6973,0E-20
750114,0E-20
3788,0E-20
24855,0E-20
136592,0E-20
6098,0E-20
698,0E-20
60589,0E-20
1899,8.3636363636363636
66453,0E-20
220981,2.4645161290322581
262706,0E-20
484,14.0000000000000000
20109,0E-20
133989,0.08176100628930817610
42767,1.7727272727272727
98700,0E-20
110332,0E-20
39864,0E-20
1484,0E-20
6505,0E-20
28699,0E-20
14451,1.8141592920353982
960741,56.6236559139784946
1833,0E-20
12013,0E-20
12449,0E-20
1182,0E-20
9693,0E-20
5683,0E-20
42391,2.0000000000000000
393,0E-20
19504,0E-20
4650,0E-20
11752,0E-20
34,12.0000000000000000
132603,0.07006369426751592357
9351,0E-20
38342,0E-20
792,0E-20
311164,0E-20
8995,0E-20
3097,0E-20
12093,0E-20
32280,0.07407407407407407407
3585,0E-20
1190,0E-20
29402,0E-20
1236,0E-20
13372,0E-20
27041,2.2941176470588235
31447,0E-20
283,0E-20
143349,0E-20
134789,0.07594936708860759494
110720,0E-20
19456,1.5483870967741935
176,0E-20
33455,0E-20
4737424,50.0000000000000000
1109159,7.9428571428571429
9404,1.9166666666666667
3802,0E-20
59796,0E-20
1041,0E-20
4786,0E-20
1414,0E-20
357,0E-20
1180,0E-20
12743,0E-20
1424,0E-20
1259,0E-20
18847,0E-20
16297,0E-20
1015,0E-20
19727,0E-20
79614,0E-20
19839,0E-20
1111,0E-20
538717,0E-20
11955,0E-20
276024,2.7368421052631579
92008,0E-20
17740,0E-20
10680,0E-20
4323,0E-20
20428,0E-20
7130,0E-20
11111,0E-20
1546,0E-20
9565,0E-20
11903,0E-20
1327,1.5000000000000000
1182,0E-20
13700,0E-20
7994,2.3333333333333333
11330,0E-20
131,0E-20
1073,0E-20
30405,0E-20
226776,0.30000000000000000000
313015,27.0512820512820513
5959,0E-20
165029,0.08750000000000000000
35212,0E-20
2208,0E-20
134530,0E-20
220981,2.4247787610619469
15426,0E-20
1555,0E-20
873421,0E-20
2079,0E-20
5223,0E-20
4076,0E-20
2515,2.0000000000000000
160006,6.0000000000000000
90829,0E-20
54539,0E-20
8773,0E-20
18089,0E-20
4305,0E-20
547015,0E-20
24097,1.5099337748344371
4048,0E-20
992326,39.9940476190476190
154343,0E-20
34915,0E-20
183,0E-20
153647,3.8333333333333333
352918,0E-20
164552,0.08750000000000000000
1427,0.45161290322580645161
25656,0E-20
6925,0E-20
44463,0E-20
5492,1.00000000000000000000
4261,0E-20
7924,0E-20
73704,0E-20
6669499,6.5436893203883495
49115,0E-20
226,2.0000000000000000
1355,0E-20
9066,1.4285714285714286
1259,0E-20
190430,0E-20
450,1.8666666666666667
269,0E-20
19139,0.85714285714285714286
59299,0E-20
5004,0E-20
152450,0E-20
369,0E-20
1523,0E-20
13412,0E-20
2014,0E-20
48841,0E-20
101,0E-20
6223,0E-20
864110,0E-20
536,0E-20
267175,0.50000000000000000000
384610,0E-20
220981,2.4016393442622951
13126,0E-20
8581,0E-20
65158,0E-20
10846,0E-20
133924,0.08227848101265822785
12224688,19.6272727272727273
504,0E-20
1995624,1.7340425531914894
325,0E-20
17169,0E-20
202,0E-20
198,0E-20
4122,0E-20
1250,0E-20
1182,0E-20
89483,0E-20
73206,0E-20
35665,0E-20
102971,0E-20
64628,0E-20
300945,0E-20
18153,0E-20
1490,0E-20
3631,0E-20
9605,4.5882352941176471
329023,0E-20
3316,1.9333333333333333
6994,0E-20
54011,0E-20
37129,0E-20
864156,0E-20
1033,0E-20
2209,0E-20
101,0E-20
230368,0E-20
331834,0E-20
10610,0E-20
5795,0E-20
547540,0E-20
14092,0E-20
1052,1.9245283018867925
626,0E-20
88588,0.08333333333333333333
150828,6.1818181818181818
1306515,9.0000000000000000
362704,0E-20
106539,0E-20
43874,0E-20
14374,0E-20
41802,0E-20
66484,0E-20
1586,0E-20
65517,0E-20
52061,41.8000000000000000
32851,0E-20
292037,0E-20
691729,4.1538461538461538
15030,0E-20
463,0E-20
53388,0E-20
1919,0E-20
14534,0E-20
127343,0E-20
118825,0.12000000000000000000
14753,0E-20
20515,0E-20
83431,1.7045454545454545
75685,0E-20
11020,0E-20
54929,0E-20
32589,0E-20
55931,0E-20
59245,0E-20
1385372,0E-20
792,0E-20
32632,0E-20
1113,0E-20
2038,0E-20
792,0E-20
189049,0.60937500000000000000
164923,0E-20
684,0E-20
1174,0E-20
1874,0E-20
17662,0E-20
152450,0E-20
580554,21.4400000000000000
6484,0E-20
29777,12.0000000000000000
12761,0E-20
57222,0.64285714285714285714
28935,0E-20
2981,0E-20
755855,38.0534351145038168
513,0E-20
73708,2.8205128205128205
812,0E-20
8092,0E-20
585,0E-20
30753,0E-20
234,0E-20
88874,0.42424242424242424242
3565,0E-20
2431,1.00000000000000000000
103482,5.6923076923076923
23303,0E-20
3962,0E-20
4396,0E-20
59934,0E-20
2481,0E-20
6225,0E-20
273,0E-20
1574,0E-20
1789,0E-20
11535,0E-20
92879,6.4800000000000000
26960,0.15384615384615384615
2262,3.0000000000000000
633061,2.0400000000000000
555,0E-20
981,0E-20
224828,0E-20
991,0E-20
7531701,0E-20
74401,0E-20
1182,0E-20
18783,2.4077669902912621
20140,0E-20
32754,48.0000000000000000
490,0E-20
1802,0E-20
48580,0E-20
234891,0E-20
55886,0E-20
1075,0E-20
13374,1.00000000000000000000
41972,0E-20
4002,0E-20
70058,0.14285714285714285714
1005760,0E-20
1780,0.85119047619047619048
3390,0E-20
272368,0E-20
82295,0E-20
23452,0E-20
9433,0E-20
83272,0E-20
8171,0E-20
9438,0E-20
90,0E-20
85,0E-20
4053,0E-20
6429,0E-20
58021,0E-20
463,0E-20
782807,2.6319018404907975
189829,0E-20
10197,0E-20
100959,0.25531914893617021277
35212,0E-20
2098818,1.00000000000000000000
1182,0E-20
177138,0E-20
4161,0E-20
76448,0E-20
1962,0.25000000000000000000
200187,0.87301587301587301587
5859,0E-20
33378,0E-20
