gid,before,after,change,change_percentage
11648402,7.0,7.0,0.0,0.0
11725443,0.0,0.0,0.0,0.0
11827017,0.0,0.0,0.0,0.0
11879182,1.0,1.1777777777777778,0.1777777777777778,0.1777777777777778
11920542,0.0,0.0,0.0,0.0
11932786,0.0,0.0,0.0,0.0
12029945,0.0,0.0,0.0,0.0
12453736,0.0,0.0,0.0,0.0
12457366,0.0,0.0,0.0,0.0
12572903,0.0,0.0,0.0,0.0
12620641,0.0,0.0,0.0,0.0
12936094,0.0,0.0,0.0,0.0
13315853,0.0,0.0,0.0,0.0
13584262,0.0,0.0,0.0,0.0
13796849,0.0,0.0,0.0,0.0
13915010,0.0,0.0,0.0,0.0
14282805,1.0,1.0,0.0,0.0
14517504,0.0,0.0,0.0,0.0
14724954,0.0,0.0,0.0,0.0
14943395,0.0,0.0,0.0,0.0
15127462,0.0,0.0,0.0,0.0
15231212,17.0,17.0,0.0,0.0
15356807,2.0,2.0,0.0,0.0
15381974,0.0,0.0,0.0,0.0
15581810,0.0,0.0,0.0,0.0
15821540,0.0,0.0,0.0,0.0
15867563,22.0,22.0,0.0,0.0
15895714,11.0,11.0,0.0,0.0
16022488,0.0,0.0,0.0,0.0
16089035,1.0,1.0,0.0,0.0
16197184,0.0,0.0,0.0,0.0
16333588,0.0,0.0,0.0,0.0
16650099,0.0,0.0,0.0,0.0
16855326,0.0,0.0,0.0,0.0
16927692,0.0,0.0,0.0,0.0
16949032,0.0,0.0,0.0,0.0
17317349,0.0,0.0,0.0,0.0
17723814,0.0,0.0,0.0,0.0
17742767,14.0,14.0,0.0,0.0
17789179,0.0,0.0,0.0,0.0
17980400,0.0,0.0,0.0,0.0
18079312,0.0,0.0,0.0,0.0
18117964,0.0,0.0,0.0,0.0
18569392,0.0,0.0,0.0,0.0
18591532,4.950421031012528,0.0,-4.950421031012528,-1.0
18657564,1.0174506828528074,0.0,-1.0174506828528074,-1.0
18763401,0.0,0.0,0.0,0.0
18955192,0.0,0.0,0.0,0.0
19143802,0.0,0.0,0.0,0.0
19343023,0.0,0.0,0.0,0.0
19880215,0.0,0.0,0.0,0.0
19954711,18.0,18.0,0.0,0.0
20042152,6.0,6.0,0.0,0.0
20311659,0.0,0.0,0.0,0.0
20366609,0.0,0.0,0.0,0.0
20613390,14.0,14.0,0.0,0.0
20658455,0.0,0.0,0.0,0.0
20789757,0.0,0.0,0.0,0.0
21054216,3.0,3.0,0.0,0.0
21088356,0.0,0.0,0.0,0.0
21399598,0.0,0.0,0.0,0.0
21611548,0.0,0.0,0.0,0.0
21868533,0.0,0.0,0.0,0.0
21871245,0.0,0.0,0.0,0.0
21887449,0.0,0.0,0.0,0.0
22228279,52.0,52.0,0.0,0.0
22554796,0.0,0.0,0.0,0.0
22786524,36.0,19.2,-16.8,-0.4666666666666667
23462682,0.0,0.0,0.0,0.0
23670920,0.0,0.0,0.0,0.0
24019790,1.0,1.0,0.0,0.0
24178276,0.0,0.0,0.0,0.0
24187077,0.0,0.0,0.0,0.0
24478609,0.0,0.0,0.0,0.0
25002984,0.0,0.0,0.0,0.0
25281343,0.0,0.0,0.0,0.0
26331004,0.0,0.0,0.0,0.0
26486958,0.0,0.0,0.0,0.0
26554081,0.0,0.0,0.0,0.0
26631293,0.0,0.0,0.0,0.0
26960459,0.0,0.0,0.0,0.0
27612014,0.0,0.0,0.0,0.0
28201944,0.0,0.0,0.0,0.0
28279262,0.0,0.0,0.0,0.0
28464468,12.0,12.0,0.0,0.0
28640038,0.0,0.0,0.0,0.0
28956980,0.0,0.0,0.0,0.0
29287945,2.966666666666667,0.0,-2.966666666666667,-1.0
29324130,0.0,0.0,0.0,0.0
29826544,0.0,0.0,0.0,0.0
30285498,0.0,0.0,0.0,0.0
30824491,0.0,0.0,0.0,0.0
31211061,34.0,29.55,-4.449999999999999,-0.13088235294117645
31411004,3.0,1.6666666666666667,-1.3333333333333333,-0.4444444444444444
31425145,4.0,4.0,0.0,0.0
31441137,0.0,0.0,0.0,0.0
31702417,0.0,0.0,0.0,0.0
32144282,0.0,0.0,0.0,0.0
32271212,1.0,1.0,0.0,0.0
32290361,0.0,0.0,0.0,0.0
32368564,0.0,0.0,0.0,0.0
32771219,0.0,0.0,0.0,0.0
33141529,0.0,0.0,0.0,0.0
33202667,1.0,1.0,0.0,0.0
33411437,0.0,0.0,0.0,0.0
33565372,26.0,26.0,0.0,0.0
33682034,0.0,0.0,0.0,0.0
33688021,0.0,0.0,0.0,0.0
33884891,0.0,0.0,0.0,0.0
34143563,0.0,0.0,0.0,0.0
34708963,0.0,0.0,0.0,0.0
35305786,0.0,0.0,0.0,0.0
35458562,0.0,0.0,0.0,0.0
35662043,0.0,0.0,0.0,0.0
36050777,0.0,0.0,0.0,0.0
36071697,0.0,0.0,0.0,0.0
36437041,0.0,0.0,0.0,0.0
36865744,0.0,0.0,0.0,0.0
37220164,0.0,0.0,0.0,0.0
37251799,0.0,0.0,0.0,0.0
37448451,0.0,0.0,0.0,0.0
37535254,4.0,4.0,0.0,0.0
37542590,0.0,0.0,0.0,0.0
37553244,6.188888888888889,2.0,-4.188888888888889,-0.6768402154398564
37958358,0.0,0.0,0.0,0.0
38012348,0.0,0.0,0.0,0.0
38067078,0.0,0.0,0.0,0.0
38979597,0.0,0.0,0.0,0.0
39299759,0.0,0.0,0.0,0.0
39491783,0.0,0.0,0.0,0.0
39718308,0.0,0.0,0.0,0.0
39823338,0.0,0.0,0.0,0.0
39869266,0.0,0.0,0.0,0.0
39898476,0.0,0.0,0.0,0.0
40067972,0.0,0.0,0.0,0.0
40177245,0.0,0.0,0.0,0.0
40251324,0.0,0.0,0.0,0.0
40261816,0.0,0.0,0.0,0.0
40967960,306.8333333333333,315.0,8.166666666666686,0.026615969581749114
41068258,0.0,0.0,0.0,0.0
41315844,0.0,0.0,0.0,0.0
41525596,0.0,0.0,0.0,0.0
41818547,0.0,0.0,0.0,0.0
41847366,1.0,1.0,0.0,0.0
41896643,48.0,27.2,-20.8,-0.43333333333333335
41949826,0.0,0.0,0.0,0.0
42009758,0.0,0.0,0.0,0.0
42451079,0.0,0.0,0.0,0.0
42955276,0.0,0.0,0.0,0.0
42981718,1.8176291793313084,0.0,-1.8176291793313084,-1.0
43552369,0.0,0.0,0.0,0.0
43954094,0.0,0.0,0.0,0.0
43964563,0.0,0.0,0.0,0.0
44150497,0.0,0.0,0.0,0.0
44274144,0.0,0.0,0.0,0.0
44330200,0.0,0.0,0.0,0.0
44974847,3.0,3.0,0.0,0.0
45424233,0.0,0.0,0.0,0.0
45532631,0.0,0.0,0.0,0.0
45668780,0.0,0.0,0.0,0.0
45900054,0.0,0.0,0.0,0.0
46213671,0.0,0.0,0.0,0.0
46776191,0.0,0.0,0.0,0.0
47207509,0.0,0.0,0.0,0.0
47364141,0.0,0.0,0.0,0.0
47372003,0.0,0.0,0.0,0.0
47570190,6.0,6.0,0.0,0.0
47651148,2.0,2.0,0.0,0.0
47794145,0.0,0.0,0.0,0.0
47847334,0.0,0.0,0.0,0.0
47930696,0.0,0.0,0.0,0.0
47950036,1.0,0.898888888888889,-0.10111111111111104,-0.10111111111111104
47968284,0.0,0.0,0.0,0.0
48064602,0.0,0.0,0.0,0.0
48195614,0.0,0.0,0.0,0.0
48196746,0.0,0.0,0.0,0.0
48395618,0.0,0.0,0.0,0.0
49152949,0.0,0.0,0.0,0.0
49520328,0.0,0.0,0.0,0.0
49672452,0.0,14.5,14.5,inf
49870872,2.0,2.0,0.0,0.0
49889904,0.0,0.0,0.0,0.0
49946255,0.0,0.0,0.0,0.0
50421953,3.0,1.6,-1.4,-0.4666666666666666
50460031,0.0,0.0,0.0,0.0
50480643,0.0,0.0,0.0,0.0
50637488,0.0,0.0,0.0,0.0
50849377,0.0,0.0,0.0,0.0
51176043,0.0,0.0,0.0,0.0
51642860,0.0,0.0,0.0,0.0
51877056,0.0,0.0,0.0,0.0
52270857,0.0,0.0,0.0,0.0
52284593,1.6092592592592594,1.4444444444444444,-0.16481481481481497,-0.10241657077100123
52599538,9.0,9.0,0.0,0.0
52724221,0.0,0.0,0.0,0.0
52763688,132.0,132.0,0.0,0.0
53110044,1.0,1.0,0.0,0.0
53155728,17.0,17.0,0.0,0.0
53338032,2.0,2.0,0.0,0.0
53664497,1.0,0.8666666666666667,-0.1333333333333333,-0.1333333333333333
53932129,0.0,0.0,0.0,0.0
54088458,0.0,0.0,0.0,0.0
54404073,0.0,0.0,0.0,0.0
54408161,15.0,15.0,0.0,0.0
54502530,0.0,0.0,0.0,0.0
54640028,0.0,0.0,0.0,0.0
54685234,0.0,0.0,0.0,0.0
55245877,0.0,0.0,0.0,0.0
55302159,0.0,0.0,0.0,0.0
55363213,0.0,0.0,0.0,0.0
56539902,1.0,1.0,0.0,0.0
56663951,12.0,12.019047619047619,0.01904761904761898,0.0015873015873015817
56688576,0.0,0.0,0.0,0.0
57165232,4.288888888888889,0.5666666666666667,-3.7222222222222223,-0.8678756476683939
57376133,1.0,1.0,0.0,0.0
57462044,0.0,0.0,0.0,0.0
58205408,0.0,0.0,0.0,0.0
58763555,0.0,0.0,0.0,0.0
59049871,0.0,0.0,0.0,0.0
59302870,0.0,0.0,0.0,0.0
59356527,0.0,0.0,0.0,0.0
59361967,19.0,19.0,0.0,0.0
59435364,1.0,1.0,0.0,0.0
59703501,1.9555555555555555,0.03333333333333333,-1.922222222222222,-0.9829545454545454
59834119,0.0,0.0,0.0,0.0
59936034,0.0,0.0,0.0,0.0
59953536,0.0,0.0,0.0,0.0
60058857,0.0,0.0,0.0,0.0
60372006,0.0,0.0,0.0,0.0
60733133,0.0,0.0,0.0,0.0
60879994,0.0,0.0,0.0,0.0
61241605,0.0,0.0,0.0,0.0
61560884,9.0,9.0,0.0,0.0
62729823,50.0,50.0,0.0,0.0
62827672,0.0,0.0,0.0,0.0
62937181,12.0,12.0,0.0,0.0
62963654,19.617283950617285,19.0,-0.6172839506172849,-0.03146633102580244
63089994,0.0,0.0,0.0,0.0
63403780,0.0,0.0,0.0,0.0
64083411,0.0,0.0,0.0,0.0
64497406,0.0,0.0,0.0,0.0
65019513,0.0,0.0,0.0,0.0
65150340,25.0,25.0,0.0,0.0
65157034,0.0,0.0,0.0,0.0
65175263,0.0,0.0,0.0,0.0
65416538,0.0,0.0,0.0,0.0
65529578,0.0,0.0,0.0,0.0
65591126,0.0,0.0,0.0,0.0
65795619,0.0,0.0,0.0,0.0
66186905,0.0,0.0,0.0,0.0
66224513,0.0,0.0,0.0,0.0
66806307,0.0,0.0,0.0,0.0
66835598,0.0,0.0,0.0,0.0
67058735,0.0,0.0,0.0,0.0
67275162,0.0,0.0,0.0,0.0
67508428,19.0,18.155555555555555,-0.844444444444445,-0.044444444444444474
68063806,0.0,0.0,0.0,0.0
68096407,0.0,0.0,0.0,0.0
68414674,0.0,0.0,0.0,0.0
68568514,0.0,0.0,0.0,0.0
69129832,33.0,33.0,0.0,0.0
69175426,0.0,0.0,0.0,0.0
69190673,0.0,0.0,0.0,0.0
69330230,1.0,1.0,0.0,0.0
69803955,0.0,0.0,0.0,0.0
69833218,0.0,0.0,0.0,0.0
70256357,0.0,0.0,0.0,0.0
70273542,0.0,0.0,0.0,0.0
71296923,0.0,0.0,0.0,0.0
71359796,0.0,0.0,0.0,0.0
71615619,0.0,0.0,0.0,0.0
71829219,0.0,0.0,0.0,0.0
71871673,0.0,0.0,0.0,0.0
72070328,0.0,0.0,0.0,0.0
72092540,0.0,0.0,0.0,0.0
72453516,0.0,0.0,0.0,0.0
72584190,0.0,0.0,0.0,0.0
72754695,0.0,0.0,0.0,0.0
73099725,0.0,0.0,0.0,0.0
73394149,0.0,0.0,0.0,0.0
73478141,0.0,0.0,0.0,0.0
73760740,0.0,0.0,0.0,0.0
73806727,26.0,26.0,0.0,0.0
73913845,1.0,1.0,0.0,0.0
74029823,0.0,0.0,0.0,0.0
74045752,0.0,0.0,0.0,0.0
74418795,1.0,1.0,0.0,0.0
74428198,62.0,62.0,0.0,0.0
75208507,0.0,0.0,0.0,0.0
75532964,0.0,0.0,0.0,0.0
75928556,0.0,0.0,0.0,0.0
76205055,0.0,0.0,0.0,0.0
76232302,0.0,0.0,0.0,0.0
76381547,0.0,0.0,0.0,0.0
76485630,1.0,1.0,0.0,0.0
76684607,1.0,1.0,0.0,0.0
76692542,0.0,0.0,0.0,0.0
76826511,9.0,9.0,0.0,0.0
76891826,0.0,0.0,0.0,0.0
77091337,0.0,0.0,0.0,0.0
77124129,0.0,0.0,0.0,0.0
77286279,0.0,0.0,0.0,0.0
77465766,0.0,0.0,0.0,0.0
78775187,4.0,4.0,0.0,0.0
78844204,0.0,0.0,0.0,0.0
79116335,29.0,29.0,0.0,0.0
79369308,0.0,0.0,0.0,0.0
79558820,0.16666666666666666,0.0,-0.16666666666666666,-1.0
79986110,102.0,102.0,0.0,0.0
80049258,0.0,0.0,0.0,0.0
80276391,0.0,0.0,0.0,0.0
80431949,0.0,0.0,0.0,0.0
80537647,0.0,0.0,0.0,0.0
80719637,2.0,2.0,0.0,0.0
81037459,0.0,0.0,0.0,0.0
81259409,0.0,0.0,0.0,0.0
81275777,0.0,0.0,0.0,0.0
81312331,0.0,0.0,0.0,0.0
81379180,0.0,0.0,0.0,0.0
81496746,0.0,0.0,0.0,0.0
81577124,0.0,0.0,0.0,0.0
81748211,0.0,0.0,0.0,0.0
82068763,0.0,0.0,0.0,0.0
83271262,4.0,4.0,0.0,0.0
83574500,0.0,0.0,0.0,0.0
84110837,0.0,0.0,0.0,0.0
84252717,0.0,0.0,0.0,0.0
84507013,27.0,27.0,0.0,0.0
84769237,1.0,1.0,0.0,0.0
84791928,0.0,0.0,0.0,0.0
85346634,0.0,0.0,0.0,0.0
85395980,0.0,0.0,0.0,0.0
85699528,2.0,2.0,0.0,0.0
85883161,0.0,0.0,0.0,0.0
85979654,0.0,0.0,0.0,0.0
85987401,0.0,0.0,0.0,0.0
86076461,0.0,0.0,0.0,0.0
87027412,3.0,2.8074074074074074,-0.19259259259259265,-0.06419753086419755
87300268,0.0,0.0,0.0,0.0
87829743,0.0,0.0,0.0,0.0
88269818,0.0,0.0,0.0,0.0
88643649,5.0,5.0,0.0,0.0
89058723,0.0,0.0,0.0,0.0
89168390,0.0,0.0,0.0,0.0
89670162,0.0,0.0,0.0,0.0
89795477,0.0,0.0,0.0,0.0
89845570,2.0,2.0,0.0,0.0
90054742,0.0,0.0,0.0,0.0
90196956,0.0,0.0,0.0,0.0
90279766,0.0,0.0,0.0,0.0
90399226,0.0,0.0,0.0,0.0
90535445,0.0,0.0,0.0,0.0
90558995,0.0,0.0,0.0,0.0
90790623,0.0,0.0,0.0,0.0
90916166,0.0,0.0,0.0,0.0
91498509,0.0,0.0,0.0,0.0
92111509,5.0,5.0,0.0,0.0
92548125,0.0,0.0,0.0,0.0
92979417,0.0,0.0,0.0,0.0
93163073,0.0,0.0,0.0,0.0
93846809,1.0,1.0,0.0,0.0
93926719,0.0,0.0,0.0,0.0
93930373,0.0,0.0,0.0,0.0
94116426,0.0,0.0,0.0,0.0
94138426,0.0,0.0,0.0,0.0
95229864,0.0,0.0,0.0,0.0
95589313,0.0,0.0,0.0,0.0
95846805,2.0,2.0,0.0,0.0
95918398,0.0,0.0,0.0,0.0
95960790,0.0,0.0,0.0,0.0
96102257,0.0,0.0,0.0,0.0
96767206,31.933333333333334,31.0,-0.9333333333333336,-0.029227557411273492
97018273,0.0,0.0,0.0,0.0
97162885,0.0,0.0,0.0,0.0
97622527,0.0,0.0,0.0,0.0
97662100,0.0,0.0,0.0,0.0
97781586,1.0,1.0,0.0,0.0
97869737,0.0,0.0,0.0,0.0
98246154,0.0,0.0,0.0,0.0
98684875,0.0,0.0,0.0,0.0
98800174,0.0,0.0,0.0,0.0
99073743,0.0,0.0,0.0,0.0
99120783,0.0,0.0,0.0,0.0
99368199,0.0,0.0,0.0,0.0
99533003,8.0,8.0,0.0,0.0
99677102,0.0,0.0,0.0,0.0
